t,x,y,z,R,G,B,N_x,N_y,N_z,d,ath
152,304.2500,158.5000,50.0000,1,100,253,-0.0717,0.4542,-0.8880,532.2828,152.6260
152,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
152,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
154,304.2500,158.7500,50.0000,1,100,253,-0.0746,0.4478,-0.8910,532.0677,153.0037
154,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
154,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
155,304.2500,158.7500,50.0000,1,100,253,-0.0746,0.4478,-0.8910,532.0677,153.0037
155,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
155,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
160,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
160,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
160,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
161,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
161,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
161,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
165,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
165,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
165,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
167,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
167,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
167,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
168,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
168,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
168,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
174,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
174,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
174,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
175,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
175,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
175,212.7500,214.5000,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
183,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
183,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
183,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
184,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
184,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
184,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
185,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
185,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
185,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
188,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
188,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
188,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
189,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
189,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
189,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
190,304.2500,158.7500,50.0000,2,100,252,-0.0746,0.4478,-0.8910,532.0677,153.0037
190,235.5000,187.5000,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
190,215.0000,213.7500,50.0000,2,100,252,0.2945,0.6521,-0.6986,239.4368,134.3142
194,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
194,232.7500,187.7500,50.0000,2,100,252,0.1674,0.7175,-0.6761,501.2006,132.5421
194,212.2500,214.0000,50.0000,2,100,252,0.2999,0.6640,-0.6850,246.5847,133.2341
196,304.2500,158.5000,50.0000,2,100,252,-0.0717,0.4542,-0.8880,532.2828,152.6260
